1;63.5;1270
2;66;1320
3;68.5;1370
4;57;1140
5;53.5;1070
6;55.5;1110
7;57.5;1150
8;59.4;1188
9;55.9;1118
10;;
11;65.5;1310
12;62.5;1250
13;59.5;1190
14;56.5;1130
15;52;1040
16;55;1100
17;58;1160
18;61;1220
19;64;1280
20;67;1340
21;70;1400
22;73;1460
23;;
24;38.5;770
25;41.5;830
26;44.5;890
27;47.5;950
28;50.5;1010
29;;
30;;
31;75.5;1510
32;77;1540
33;78.5;1570
34;83;1660
35;83;1660
36;85;1700
37;87;1740
38;89;1780
39;;
40;91;1820
41;87;1740
42;89;1780
43;91;1820
44;;
45;;
46;;
47;;
48;;
49;;
50;;
51;67.5;1350
52;66;1320
53;64;1280
54;62.5;1250
55;69.5;1390
56;71;1420
57;72.5;1450
58;69.5;1390
59;71;1420
60;72.5;1450
61;51.5;1030
62;54.5;1090
63;61;1220
64;65;1300
65;69;1380
66;77;1540
67;79.5;1590
68;82;1640
69;;
70;;
71;31.5;630
72;29.5;590
73;27.5;550
74;25.5;510
75;22.5;450
76;20.5;410
77;18.5;370
78;16.5;330
79;11;220
80;9;180
81;7;140
82;5;100
83;3;60
84;2;40
85;4;80
86;6;120
87;8;160
88;10;200
89;;
90;;
91;45;900
92;47;940
93;49;980
94;51;1020
95;53;1060
96;55;1100
97;57;1140
98;59;1180
99;61;1220
100;63;1260
101;65;1300
102;67;1340
103;69.5;1390
104;72;1440
