--------Result---------------
[69, 'A320', 'VJ285', 440, 480, 55, 'A320', 'VJ274', 0.052702702702702706, 0.052702702702702706]
[70, 'A350', 'VN216', 420, 480, 4, 'B787', 'VN220', 0.052702702702702706, 0.052702702702702706]
[71, 'B787', 'JL79', 315, 480, 11, 'B787', 'JL750', 0.052702702702702706, 0.052702702702702706]
[72, 'A320', 'CZ6041', 340, 480, 59, 'A320', 'CZ368', 0.052702702702702706, 0.052702702702702706]
[73, 'AT72', '0V8053', 420, 480, 15, 'B738', 'MF8006', 0.1103950103950104, 0.1103950103950104]
[74, 'A321', 'VN218', 450, 485, 8, 'A320', 'BL342', 0.052702702702702706, 0.0527027027027027]
[75, 'A320', 'BL666', 420, 485, 56, 'A320', 'VJ893', 0.16381381381381382, 0.16381381381381382]
[76, 'A321', 'VJ328', 460, 495, 2, 'A321', 'VJ844', 0.16032602108835292, 0.16032602108835292]
[77, 'AT72', '0V8061', 355, 500, 17, 'AT72', 'K6809', 0.11936936936936937, 0.11936936936936937]
[78, 'A321', 'VN1414', 475, 510, 9, 'A321', 'VN114', 0.052702702702702706, 0.0527027027027027]
[79, '-', '-', -5, 510, 19, 'AT72', '0V8055', 0.052702702702702706, 0.052702702702702706]
[80, 'A321', 'VN1400', 420, 510, 34, 'A321', 'VN224', 0.052702702702702706, 0.052702702702702706]
[81, '-', '-', -5, 510, 20, 'AT72', 'K6839', 0.10930647628760837, 0.10930647628760837]
[82, '-', '-', -5, 510, 21, 'B772', 'KE686', 0.14509400705052877, 0.14509400705052877]
[83, 'A321', 'VN112', 480, 515, 31, 'A321', 'VJ801', 0.12235444399623505, 0.12235444399623505]
[84, 'B772', 'AF258', 395, 515, 12, 'B772', 'AF253', 0.052702702702702706, 0.052702702702702706]
[85, 'A320', 'AK520', 485, 515, 58, 'A320', 'AK521', 0.052702702702702706, 0.052702702702702706]
[86, 'A321', 'VJ633', 455, 520, 38, 'A321', 'VJ628', 0.052702702702702706, 0.052702702702702706]
[87, 'A321', 'VJ361', 480, 520, 32, 'A321', 'VN601', 0.14737725891572045, 0.14737725891572045]
[88, 'A320', 'BL305', 465, 525, 3, 'A320', 'BL458', 0.052702702702702706, 0.052702702702702706]
[89, 'A320', 'QH201', 475, 530, 36, 'A320', 'QH1970', 0.052702702702702706, 0.052702702702702706]
[90, 'A320', 'AK1490', 500, 530, 60, 'A320', 'AK1491', 0.052702702702702706, 0.052702702702702706]
[91, 'A321', 'VN209', 490, 535, 1, 'A321', 'VN651', 0.11721883173496077, 0.11721883173496077]
[92, 'A320', '3K555', 495, 535, 61, 'A320', '3K556', 0.052702702702702706, 0.052702702702702706]
[93, 'A320', 'TR304', 495, 535, 62, 'A320', 'TR305', 0.052702702702702706, 0.052702702702702706]
