14-Jul-19;3U8914;SGN-ZZZ;158;;0;2;20;136
14-Jul-19;KE682;SGN-ZZZ;206;;0;0;4;202
14-Jul-19;CZ8466;SGN-ZZZ;152;;0;1;2;149
14-Jul-19;VN655;SGN-ZZZ;177;;0;0;17;160
14-Jul-19;VJ813;SGN-ZZZ;179;;8;1;8;170
14-Jul-19;QR970;SGN-ZZZ;39;;0;0;2;37
14-Jul-19;TR307;SGN-ZZZ;175;;0;4;6;165
14-Jul-19;VJ876;SGN-ZZZ;207;;10;1;5;201
14-Jul-19;VN675;SGN-ZZZ;154;;0;0;6;148
14-Jul-19;VJ2552;SGN-ZZZ;228;;9;0;21;207
14-Jul-19;3K558;SGN-ZZZ;173;;0;0;4;169
14-Jul-19;PR598;SGN-ZZZ;192;;0;0;3;189
14-Jul-19;CZ374;SGN-ZZZ;171;;0;1;8;162
14-Jul-19;K6825;SGN-ZZZ;49;;0;0;0;49
14-Jul-19;FD655;SGN-ZZZ;154;;0;0;6;148
14-Jul-19;BR396;SGN-ZZZ;308;;0;3;22;283
14-Jul-19;SQ183;SGN-ZZZ;257;;0;1;11;245
14-Jul-19;VJ2574;SGN-ZZZ;139;;10;0;6;133
14-Jul-19;VN657;SGN-ZZZ;290;;0;3;13;274
14-Jul-19;VN920;SGN-ZZZ;122;;0;0;;122
14-Jul-19;AK523;SGN-ZZZ;174;;0;1;4;169
14-Jul-19;OD562;SGN-ZZZ;153;;0;1;7;145
14-Jul-19;VN813;SGN-ZZZ;117;;0;0;6;111
14-Jul-19;VN570;SGN-ZZZ;173;;0;0;21;152
14-Jul-19;MH759;SGN-ZZZ;162;;0;4;4;154
14-Jul-19;VN607;SGN-ZZZ;226;;0;0;10;216
14-Jul-19;VN598;SGN-ZZZ;173;;0;0;5;168
14-Jul-19;VJ805;SGN-ZZZ;155;;8;0;12;143
14-Jul-19;TR303;SGN-ZZZ;177;;0;1;6;170
14-Jul-19;VN892;SGN-ZZZ;199;;0;0;3;196
14-Jul-19;K6821;SGN-ZZZ;35;;0;0;0;35
14-Jul-19;CI784;SGN-ZZZ;290;;0;1;21;268
14-Jul-19;VN580;SGN-ZZZ;172;;0;2;10;160
14-Jul-19;TK170;SGN-ZZZ;119;;0;0;7;112
14-Jul-19;K6813;SGN-ZZZ;49;;0;1;0;48
14-Jul-19;CX764;SGN-ZZZ;223;;0;0;11;212
14-Jul-19;QR971;SGN-ZZZ;224;;0;0;16;208
14-Jul-19;MH767;SGN-ZZZ;156;;0;3;1;152
14-Jul-19;SQ185;SGN-ZZZ;260;;0;2;16;242
14-Jul-19;TG557;SGN-ZZZ;283;;0;2;30;251
14-Jul-19;BI384;SGN-ZZZ;70;;7;0;1;69
14-Jul-19;DD3219;SGN-ZZZ;161;;0;1;2;158
14-Jul-19;VN773;SGN-ZZZ;267;;0;3;28;236
14-Jul-19;TH4164;SGN-ZZZ;0;;0;0;;
14-Jul-19;MH6065;SGN-ZZZ;0;;0;0;0;0
14-Jul-19;VN781;SGN-ZZZ;297;;0;1;25;271
14-Jul-19;AK525;SGN-ZZZ;176;;0;3;4;169
14-Jul-19;FD659;SGN-ZZZ;144;;0;0;1;143
14-Jul-19;3K552;SGN-ZZZ;166;;0;0;4;162
14-Jul-19;VN31;SGN-ZZZ;206;;0;4;10;192
14-Jul-19;3S621;SGN-ZZZ;0;;0;0;;
14-Jul-19;VJ864;SGN-ZZZ;177;;7;0;2;175
14-Jul-19;NH832;SGN-ZZZ;180;;0;1;16;163
14-Jul-19;RU739;SGN-ZZZ;0;;0;0;;
14-Jul-19;JQ62;SGN-ZZZ;329;;0;1;26;302
14-Jul-19;BL154;SGN-ZZZ;141;;0;2;12;127
14-Jul-19;JL70;SGN-ZZZ;204;;0;1;9;194
14-Jul-19;KE684;SGN-ZZZ;237;;0;0;21;216
14-Jul-19;VN408;SGN-ZZZ;267;;0;2;11;254
14-Jul-19;EK393;SGN-ZZZ;259;;0;1;13;245
