126,A320,VJ627,575,615,61,A320,VJ630
129,A321,VN219,580,630,54,A321,VN230
170,A321,VJ621,580,760,81,A321,VJ660
131,A321,VN581,585,630,88,A321,VN1184
156,A320,VJ858,585,710,68,A320,BL424
233,B773,BR395,585,955,12,B773,BR396
127,A321,VN631,590,620,1,A321,VJ378
157,A320,BL758,590,710,63,A320,BL432
130,A321,VN120,600,630,75,A321,VN1384
140,B738,MH750,600,660,27,B738,MH751
142,A320,VJ386,600,665,58,A320,VJ890
149,AT72,0V8063,600,685,3,AT72,0V8067
190,B787,VN228,600,840,14,B787,VN242
343,A321,VJ865,600,1340,80,A321,VJ864
132,A321,VN502,605,635,52,A321,VN1264
135,A321,VJ323,610,650,79,A321,VJ138
137,A321,VN223,610,660,73,A321,VN232
141,A321,VN7207,615,665,53,A321,VN7216
147,B773,CX767,615,675,11,B773,CX766
139,A321,VJ378,620,660,1,A321,VN1460
148,B738,AE1857,620,680,17,B738,AE1858
144,A321,VJ852,625,670,2,A321,VJ278
249,A321,VN571,625,985,42,A321,VN570
138,A321,VN1384,630,660,75,A321,VN122
145,A321,VN1184,630,670,88,A321,VN1274
146,A321,VN219,630,675,54,A321,VJ803
143,A321,VN1264,635,670,52,A321,VN1372
150,A321,VJ138,650,685,79,A321,VJ891
151,A321,VN122,660,690,75,A321,VN234
152,A321,VN1460,660,690,1,A321,VN605
158,A321,CZ3069,660,715,51,A321,CZ3070
154,A320,VJ890,665,695,58,A320,BL672
164,A350,OZ731,665,725,4,A350,OZ732
155,A321,VN1372,670,705,52,A321,BL313
159,A321,VN225,670,720,103,A321,VN236
180,A321,VJ803,675,780,54,A321,VN1286
161,A321,VJ891,685,720,79,A321,VN7392
162,AT72,0V8067,685,720,3,A320,BL133
160,A321,VN234,690,720,75,A321,VN124
163,A321,VN605,690,725,1,A321,VN1815
165,A320,BL672,695,730,58,AT72,K6817
174,B773,BR391,700,770,8,B773,BR392
172,A321,BL313,705,760,52,A321,VJ220
166,A320,BL424,710,745,68,AT72,0V8073
168,A320,BL133,720,755,3,A320,BL764
169,A321,VN124,720,755,75,A321,VN1426
171,A321,VN1345,720,760,2,A321,VN1346
176,A321,VN7392,720,780,79,A321,VN238
177,A321,VJ635,725,780,88,A321,VJ638
178,A321,VN1815,725,780,1,A321,VN126
173,A320,AK528,730,760,57,A320,AK529
179,AT72,K6817,730,780,58,A320,QH1122
182,AT72,0V8073,745,805,68,A320,VJ252
195,A321,VJ651,745,845,73,A321,VJ1624
181,A320,BL764,755,790,3,A320,BL131
185,A321,VN1426,755,810,75,A321,VN7132
187,A321,VJ220,760,815,52,A321,VN1825
188,B772,KE681,760,835,21,B772,KE682
198,A321,VN1345,760,850,2,A321,VJ372
212,A320,AK528,760,900,57,A320,BL434
184,A321,VJ322,765,810,103,A321,VJ331
194,B773,BR391,770,840,8,E135,** N650AP
183,A320,AK526,775,805,63,A320,AK527
186,A320,AK1502,780,810,64,A320,AK1503
189,A320,3U8913,780,835,36,A320,3U8914
192,A321,VN238,780,840,79,A321,VN128
193,A320,QH1122,780,840,58,A320,BL678
199,A321,VJ635,780,850,88,A321,VJ620
200,A321,VN1286,780,850,54,A321,VN1186
