85;B772;FGSPZ;AF 258 253;CDG-SGN-CDG;835;635;
86;A320;9MAGY;AK 520 521;KUL-SGN-KUL;835;805;
87;A321 A320;657 656;VJ 633 628;DAD-SGN-DAD;840;735;
88;A321;332;VN 601 600;SGN-BKK-SGN;840;1300;
89;A320;568;BL 458 459;SGN-VCL-SGN;845;1200;
90;A320;9NALM;QH 1970 1971;SGN-VDO-SGN;850;1400;
91;A320;9MAJY;AK 1490 1491;JHB-SGN-JHB;850;820;
92;A321;608;VN 651 650;SGN-SIN-SGN;855;1420;
93;A320;9VJSB;3K 555 556;SIN-SGN-SIN;855;815;
94;A320;9VTRM;TR 304 305;SIN-SGN-SIN;855;815;
95;A321;350 347;VN 116 113;SGN-DAD-SGN;900;1025;
96;A321;392;VN 7380 7381;SGN-DLI-SGN;900;1120;
97;A321;644;VJ 244 249;SGN-THD-SGN;900;1330;
98;AT72;225;0V 8057 8056;SGN-VCS-SGN;900;1655;
99;A321;622;VN 226 233;SGN-HAN-SGN;900;1415;
100;A321 A350;322 886;VN 404 409;SGN-ICN-SGN;900;1330;
101;A320;695;VJ 809 808;SGN-HKT-SGN;900;1405;
102;A321;674;VJ 811 812;SGN-SIN-SGN;900;1410;
103;A321;357 615;VN 1344 7351;SGN-CXR-SGN;905;1100;
104;A321;613;VN 1823 1822;SGN-PQC-SGN;910;1155;
105;B747;HL7603;KE 395 396;SIN-SGN-ICN;910;710;CGO
106;B788;A7BDB;QR 972 973;DOH-SGN-DOH;915;755;
107;AT72;218;0V 8059 8058;SGN-VCS-SGN;930;1155;
108;A321;687;VJ 126 121;SGN-HAN-SGN;930;1420;
109;A321;354;BL 752 765;SGN-HAN-SGN;930;1430;
110;A320;666;VJ 825 826;SGN-KUL-SGN;930;1405;
111;A321;611;VN 943 942;SGN-RGN-SGN;930;1505;
112;A320 A321;666 600;VJ 320 339;PQC-SGN-PQC;935;830;
113;A321;366 395;VN 581 582;KHH-SGN-KHH;945;930;
114;A320;678;VJ 858 859;SGN-TNN-SGN;945;1750;
115;A320;HSBBE;FD 656 657;DMK-SGN-DMK;945;915;
116;A320 A321;564 353;BL 758 775;SGN-HAN-SGN;950;1800;
117;A321;603;VN 631 630;SGN-CGK-SGN;950;1705;
118;B738;HSDBU;DD 3210 3211;DMK-SGN-DMK;950;905;
119;A321;398 619;VN 120 117;SGN-DAD-SGN;1000;1125;
120;A320;ER00004;VJ 386 387;SGN-UIH-SGN;1000;1250;
121;AT72;219 237;0V 8063 8066;SGN-VCS-SGN;1000;1350;
122;B787;861;VN 228 237;SGN-HAN-SGN;1000;1515;
123;A321;358;VN 502 503;SGN-CAN-SGN;1005;1715;
124;A333;HSTQC;TG 550 551;BKK-SGN-BKK;1005;905;
125;A321;685 600;VJ 323 338;SGN-PQC-SGN;1010;1210;
126;A320;198;BL 512 513;SGN-VDH-SGN;1010;1400;
127;A320;ER00003;VJ 276 277;SGN-HPH-SGN;1010;1440;
