18,-,-,-5,300,13,A350,VN226
19,-,-,-5,310,41,A321,BL752
22,-,-,-5,335,32,A321,VN230
26,-,-,-5,345,71,A321,VN234
30,-,-,-5,355,73,A321,VN238
31,-,-,-5,355,40,A321,VN242
32,-,-,-5,360,80,A321,VJ146
35,-,-,-5,360,5,A350,VN248
36,-,-,-5,360,53,A321,VN252
40,-,-,-5,365,3,A320,VJ116
44,-,-,-5,375,67,A320,BL778
47,-,-,-5,380,66,A320,VJ198
67,-,-,-5,440,56,A320,VJ370
68,-,-,-5,445,58,A320,VJ270
69,-,-,-5,445,60,AT72,0V8003
99,-,-,-5,535,33,A321,VN7815
104,-,-,-5,540,100,A321,QH1122
106,-,-,-5,540,34,A321,VN114
292,-,-,-5,1130,16,A330,QR8973
295,-,-,-5,1140,20,B773,CX772
301,-,-,-5,1165,18,B772,KE686
16,A321,CZ367,-1,295,21,A321,VN224
11,A320,5J751,25,-1,2,A320,5J752
12,B738,CZ8317,40,-1,55,B738,CZ8318
285,A321,VJ 861. 862.,40,1100,4,A321,-
294,B738,CA903,40,1140,78,B738,CA904
284,A321,VN573,50,1095,17,A321,VN572
13,B738,7C4703,60,-1,54,B738,7C4704
14,A320,MU281,95,-1,4,A320,MU282
15,A320,OQ2395,100,-1,55,A320,OQ2396
173,A320,BL395,255,725,55,A320,BL380
33,A350,VN226,300,360,57,A350,VN246
24,A321,BL752,310,345,13,A321,VJ138
28,A320,BL747,320,355,41,A320,BL764
51,A321,VN230,335,395,55,A321,BL782
297,A320,CZ6041,340,1155,32,A320,CZ368
42,A321,VJ138,345,375,65,A321,QH206
53,A321,VN234,345,400,41,A321,VN280
52,A321,VN238,355,395,71,A321,VJ178
57,A321,VN242,355,420,73,A321,VN286
59,A321,VJ146,360,420,40,A321,VN7216
95,A321,VN252,360,525,80,A321,VJ230
238,A350,VN246,360,960,53,A350,VN302
63,A320,VJ116,365,420,13,A320,QH224
180,A320,BL399,365,760,5,A320,BL378
78,A321,VJ667,370,480,3,A321,VJ622
55,A321,QH206,375,410,63,A321,VN284
64,A320,BL778,375,425,85,A320,BL664
65,A320,VJ198,380,430,41,A320,BL540
130,A321,VJ683,380,610,67,A321,VJ612
241,B787,VN259,390,960,66,A350,VN522
66,A321,BL782,395,435,52,A321,VJ360
76,A321,VJ178,395,480,32,A321,VN1180
79,A321,VN280,400,480,71,A321,VN1821
74,A321,VN284,410,480,73,A321,VJ321
128,A320,VJ647,415,605,41,A320,VJ646
70,A320,QH223,420,450,62,AT72,0V8051
71,A320,QH224,420,450,55,AT72,0V8061
73,A321,VJ187,420,475,3,A321,VN110
80,A321,VN286,420,480,2,A321,VN1370
83,A321,VN7216,420,490,40,A321,VN1262
72,A320,BL664,425,475,80,A320,VJ302
82,A320,BL540,430,485,67,A320,BL442
131,A320,VJ679,430,610,66,A320,VJ1622
75,A321,VJ360,435,480,61,A321,BL303
84,A320,VJ370,440,500,32,A320,BL500
100,A320,VJ270,445,535,56,A320,BL668
108,AT72,0V8003,445,550,58,A320,BL458
77,AT72,0V8051,450,480,60,A320,VJ242
81,AT72,0V8061,450,485,55,A320,VJ212
155,A321,VJ633,455,675,3,A321,VJ620
317,AT72,K6812,470,1245,37,AT72,K6817
34,A320,QH201,475,360,104,A320,QH204
85,A321,VN110,475,510,55,A321,VJ206
88,A320,VJ302,475,510,2,A320,BL564
86,A321,VJ321,480,510,67,A321,VN7827
87,A320,VJ242,480,510,41,A320,QH1152
89,A321,BL303,480,510,55,A321,VN1340
90,A321,VN1180,480,515,32,A321,VJ304
91,A321,VN1821,480,515,71,A321,VJ384
92,A321,VN1370,480,520,73,A321,VN1380
96,A321,VJ667,480,530,40,A321,VN1392
93,A320,VJ212,485,525,85,AT72,0V8053
97,A320,BL442,485,530,3,A320,QH1540
302,A320,AK520,485,1170,66,A320,AK521
17,A321,VJ143,490,300,68,A321,VJ132
20,A320,BL747,490,320,2,A320,BL758
94,A321,VN1262,490,525,55,A321,VN1400
304,A320,3K555,495,1175,80,A320,3K556
305,A320,TR304,495,1180,64,A320,TR305
98,A320,BL500,500,535,103,A320,BL305
303,A320,AK1490,500,1175,56,A320,AK1491
101,A321,VJ206,510,540,36,A321,VN1414
102,A321,VN7827,510,540,2,A321,VN112
103,A321,VN1340,510,540,41,A321,VJ274
105,A320,QH1152,510,540,32,A320,BL342
107,A320,BL564,510,545,55,AT72,0V8055
306,A321,PR591,510,1200,67,A321,PR592
110,A321,VJ304,515,560,88,A321,VN116
135,A321,VJ605,515,630,71,A321,VJ696
127,A321,VN1380,520,600,92,A321,VN1264
109,AT72,0V8053,525,555,40,A320,QH1970
129,A321,VN1400,525,605,3,A321,VN7378
147,A321,VJ230,525,660,80,A321,VN1346
114,A320,QH1540,530,570,53,AT72,0V8059
148,A321,VN1392,530,660,66,A321,VN1426
120,A320,BL305,535,590,85,AT72,0V8063
121,A320,BL668,535,595,56,A320,VJ386
149,A321,VN7815,535,660,58,A321,VJ220
111,A320,BL342,540,570,33,AT72,0V8057
112,A321,VN1414,540,570,55,A321,VN1344
113,A321,VN112,540,570,2,A321,VN1823
117,A321,VJ274,540,585,41,A321,VN120
154,A321,QH1122,540,670,32,A321,VN1825
116,AT72,0V8055,545,575,100,A320,BL512
308,B738,DD3210,545,1200,67,B738,DD3211
21,A321,VN217,550,330,22,A321,VN228
23,A321,QH215,550,340,2,A321,QH218
115,A321,VJ328,550,570,2,A321,VJ339
119,A320,QH1970,555,590,73,A320,BL346
307,A320,FD656,555,1200,3,A320,FD657
